name,time,flop_count,dram_accesses,flops,ai
pyGAT,0.11990693249972537,1381114375,75615895,11518219557.51527,18.2648
pygcn,0.012720127119682728,131381416,412119,181077829837.30423,9.96233915446752
hgcn,0.034375857179984454,262164133,1001996,34349793190.486195,8.17630924300097
